source_file,source_url,type,status,status_code,href,resolved_url
districts\college-station-isd\leadership-directory.html,https://www.texasspecialed.com/districts/college-station-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/college-station-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\comal-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/comal-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/comal-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\comal-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/comal-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/comal-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\comal-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/comal-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/comal-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\comal-isd\leadership-directory.html,https://www.texasspecialed.com/districts/comal-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/comal-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\conroe-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/conroe-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/conroe-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\conroe-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/conroe-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/conroe-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\conroe-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/conroe-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/conroe-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\conroe-isd\leadership-directory.html,https://www.texasspecialed.com/districts/conroe-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/conroe-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\coppell-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/coppell-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/coppell-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\coppell-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/coppell-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/coppell-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\coppell-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/coppell-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/coppell-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
